device,precision,backend,model,prompt_tokens,context_tokens,n_gen_tokens,trial,ttft_ms,ptl_ms,throughput_tok_s,ptl_p90_ms,ptl_p99_ms,model_load_s,bw_util_pct,measurement_type,timestamp
M2,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,1,25.14,24.36,41.05,24.58,30.81,3.21,45.2,modeled,2026-05-09T23:05:38
M2,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,2,22.86,23.65,42.28,24.9,31.81,3.21,46.5,modeled,2026-05-09T23:05:38
M2,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,3,24.39,23.74,42.12,24.71,30.93,3.21,46.4,modeled,2026-05-09T23:05:38
M2,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,4,23.65,24.09,41.51,25.11,30.26,3.21,45.7,modeled,2026-05-09T23:05:38
M2,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,5,24.02,24.11,41.48,25.18,31.52,3.21,45.6,modeled,2026-05-09T23:05:38
M2,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,1,34.3,23.07,43.35,24.68,30.93,3.21,47.7,modeled,2026-05-09T23:05:38
M2,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,2,36.26,23.89,41.86,25.01,30.52,3.21,46.1,modeled,2026-05-09T23:05:38
M2,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,3,36.44,23.19,43.12,24.81,31.11,3.21,47.4,modeled,2026-05-09T23:05:38
M2,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,4,36.1,23.69,42.21,25.18,30.4,3.21,46.4,modeled,2026-05-09T23:05:38
M2,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,5,36.75,23.44,42.66,25.19,31.06,3.21,46.9,modeled,2026-05-09T23:05:38
M2,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,1,51.24,23.42,42.7,24.93,30.58,3.21,47.0,modeled,2026-05-09T23:05:38
