device,precision,backend,model,prompt_tokens,context_tokens,n_gen_tokens,trial,ttft_ms,ptl_ms,throughput_tok_s,ptl_p90_ms,ptl_p99_ms,model_load_s,bw_util_pct,measurement_type,timestamp
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,1,9.76,10.05,99.5,10.64,13.59,1.6,45.6,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,2,10.04,10.28,97.28,10.5,13.4,1.6,44.6,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,3,9.86,9.96,100.4,10.57,13.59,1.6,46.0,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,4,10.1,10.06,99.4,10.65,13.87,1.6,45.6,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,5,9.94,10.32,96.9,10.63,13.68,1.6,44.4,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,1,15.36,10.07,99.3,10.72,13.95,1.6,45.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,2,15.05,10.2,98.04,10.61,13.55,1.6,44.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,3,14.9,10.3,97.09,10.56,13.91,1.6,44.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,4,14.96,10.22,97.85,10.65,13.58,1.6,44.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,5,14.92,10.24,97.66,10.47,13.55,1.6,44.8,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,1,22.72,9.98,100.2,10.48,13.74,1.6,45.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,2,22.76,10.33,96.81,10.57,13.64,1.6,44.4,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,3,22.07,9.83,101.73,10.56,13.62,1.6,46.6,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,4,22.12,10.17,98.33,10.59,13.46,1.6,45.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,5,22.78,9.99,100.1,10.56,13.79,1.6,45.9,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,1,39.82,10.31,96.99,10.6,13.38,1.6,44.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,2,37.92,10.02,99.8,10.82,13.33,1.6,45.8,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,3,38.87,10.15,98.52,10.55,13.43,1.6,45.2,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,4,38.33,9.85,101.52,10.46,13.53,1.6,46.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,5,38.59,10.06,99.4,10.59,13.43,1.6,45.6,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,1,94.94,10.36,96.53,10.6,13.28,1.6,44.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,2,94.9,10.31,96.99,10.61,13.62,1.6,44.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,3,96.21,10.16,98.43,10.54,13.82,1.6,45.1,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,4,96.77,10.36,96.53,10.48,13.33,1.6,44.3,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,5,95.24,10.07,99.3,10.61,13.37,1.6,45.5,modeled,2026-05-09T23:05:38
M4,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,1,9.9,9.72,102.88,9.72,12.57,1.6,47.2,modeled,2026-05-09T23:05:38
