device,precision,backend,model,prompt_tokens,context_tokens,n_gen_tokens,trial,ttft_ms,ptl_ms,throughput_tok_s,ptl_p90_ms,ptl_p99_ms,model_load_s,bw_util_pct,measurement_type,timestamp
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,1,27.34,28.53,35.05,29.96,37.45,4.35,77.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,2,27.94,28.16,35.51,29.29,36.74,4.35,78.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,3,26.17,27.96,35.77,29.3,37.73,4.35,78.7,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,4,27.17,27.94,35.79,29.31,37.53,4.35,78.8,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,5,27.8,28.5,35.09,29.56,36.4,4.35,77.2,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,1,45.83,28.0,35.71,29.57,37.48,4.35,78.6,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,2,46.1,26.88,37.2,29.47,38.26,4.35,81.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,3,45.03,28.24,35.41,29.74,36.56,4.35,77.9,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,4,44.36,28.95,34.54,29.89,37.49,4.35,76.0,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,5,44.28,28.75,34.78,29.53,37.22,4.35,76.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,1,68.66,27.46,36.42,29.81,36.35,4.35,80.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,2,68.54,29.16,34.29,29.66,36.41,4.35,75.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,3,70.21,28.75,34.78,29.85,37.8,4.35,76.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,4,69.82,29.14,34.32,29.29,37.79,4.35,75.5,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,5,68.83,27.83,35.93,29.76,37.3,4.35,79.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,1,121.69,29.32,34.11,29.18,36.9,4.35,75.1,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,2,120.76,28.59,34.98,29.92,36.91,4.35,77.0,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,3,122.95,27.76,36.02,29.31,37.99,4.35,79.3,measured,2026-05-09T23:05:38
M2,F16,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,4,117.94,28.64,34.92,29.84,38.37,4.35,76.8,measured,2026-05-09T23:05:38
